source,target
Berakku ambune kuat lan peteng,Saya najis berbau kuat dan gelap
Aku angel berak merga atos,Saya najis keras dan sukar keluar
Urinku lara sedina,Saya kencing terasa pedih sepanjang hari
Urinku peteng esuk,Saya kencing berwarna gelap pada waktu pagi
Aku kerep pipis bengi,Saya kerap kencing waktu malam
Aku ora puas sakwise pipis,Saya rasa tidak puas selepas kencing
Perut ngisor lara,Saya sakit di bahagian perut bawah
Perut ngisor kiwa lara,Saya sakit di bahagian kiri perut bawah
Perut ngisor tengen lara,Saya sakit di bahagian kanan perut bawah
Kulitku garing lan gatel,Saya kulit terasa kering dan gatal
Kulitku abang kena srengenge,Saya kulit menjadi merah selepas terkena matahari
Lukaku lara nek didemek,Saya luka terasa pedih bila disentuh
Lukaku dadi bernanah sawisé sawetara dina,Saya luka menjadi bernanah selepas beberapa hari
Rambutku rontok akeh nek adus,Saya rambut gugur lebih banyak waktu mandi
Kulit endhasku gatel sedina,Saya kulit kepala terasa gatal sepanjang hari
Aku teka klinik esuk,Saya datang ke klinik awal pagi
Aku nunggu dipanggil sabar,Saya menunggu nombor dipanggil dengan sabar
Aku mlebu nek giliran teka,Saya masuk bilik doktor apabila tiba giliran
Aku lungguh dipriksa teliti,Saya duduk untuk diperiksa dengan teliti
Dokter menehi perawatan sing cocok,Saya doktor memberi rawatan yang sesuai
Aku kudu ngombe obat sakwise mangan,Saya perlu makan ubat selepas makan
Aku kudu ngombe banyu cukup saben dina,Saya perlu minum air secukupnya setiap hari
Aku kudu ngindari panganan tartamtu,Saya perlu elakkan makanan tertentu
Aku kudu bali yen gejala ora ilang,Saya perlu kembali jika simptom tidak hilang
Aku bakal nuruti kabeh arahan dokter,Saya akan ikut semua arahan dengan teliti
Muga kesehatanku mari sakabehe,Saya harap kesihatan saya pulih sepenuhnya
Dadaku nusuk nek ambegan,Saya rasa dada mencucuk bila tarik nafas
Aku angel ambegan nek turu rata,Saya sukar bernafas ketika berbaring rata
Dadaku krasa geter,Saya dada terasa bergetar
Atiku deg-degan sakwise mlaku,Saya jantung berdegup kuat selepas berjalan
Aku kesel senajan kerja entheng,Saya mudah penat walaupun buat kerja ringan
Awakku abot sakwise tangi,Saya badan terasa berat ketika bangun tidur
Aku mumet nek tangi cepet,Saya kepala terasa berpusing bila bangun cepat
Pucuk endhasku lara,Saya sakit di bahagian atas kepala
Gulu mburiku lara,Saya sakit di belakang leher
Guluku kenceng nek lungguh suwe,Saya leher terasa tegang bila lama duduk
Pundak kiwaku lara nek ngangkat tangan,Saya bahu kiri sakit bila angkat tangan
Pundak tengenku abot sedina,Saya bahu kanan terasa berat sepanjang hari
Tangan tengenku kebas bengi,Saya tangan kanan kebas waktu malam
Tangan kiwaku adhem terus,Saya tangan kiri terasa sejuk sepanjang masa
Drijiku lara nek didemek,Saya jari terasa sakit bila disentuh
Drijiku angel obah esuk,Saya jari sukar digerakkan waktu pagi
Kukuku dadi kuning,Saya kuku berubah warna menjadi kuning
Sikil kiwaku kebas nek lungguh,Saya kaki kiri terasa kebas selepas duduk
Sikil tengenku pegel nek ngadeg,Saya kaki kanan terasa lenguh bila berdiri
Dengkul kiwaku lara nek mlaku,Saya lutut kiri sakit ketika berjalan
Dengkul tengenku muni nek dibengkokno,Saya lutut kanan berbunyi bila bengkok
Paha kiwaku lara bengi,Saya paha kiri terasa sakit waktu malam
Paha tengenku pegel nek lungguh suwe,Saya paha kanan terasa lenguh selepas duduk lama
Betisku kram sakwise mlaku,Saya betis terasa kejang selepas berjalan
Tlapan sikil kiwaku lara nek ngadeg,Saya tapak kaki kiri sakit waktu berdiri
Tlapan sikil tengenku panas,Saya tapak kaki kanan terasa panas
Pinggang kiwaku lara esuk,Saya pinggang kiri terasa sakit waktu pagi
Pinggang tengenku pegel nek lungguh suwe,Saya pinggang kanan terasa lenguh bila duduk lama
Punggungku lara nek mbungkuk,Saya belakang terasa sakit bila membongkok
Tulang punggungku kaku esuk,Saya tulang belakang terasa keras waktu pagi
Awakku panas bengi,Saya badan terasa panas pada waktu malam
Awakku adhem esuk,Saya badan terasa sejuk pada waktu pagi
Aku gemeter sanajan ora demam,Saya menggigil walaupun tidak demam
Aku kringetan sanajan lungguh,Saya berpeluh walaupun duduk diam
Aku kesel senajan ora obah akeh,Saya cepat letih walaupun tidak bergerak banyak
Aku angel fokus merga mumet,Saya sukar fokus kerana rasa pening
Mripatku lara nek ndelok cahya padhang,Saya mata terasa sakit bila melihat cahaya terang
Mripatku metu banyu nek maca suwe,Saya mata berair ketika membaca lama
Mripatku abot bengi,Saya mata terasa berat waktu malam
Aku burem sakwise tangi,Saya penglihatan kabur selepas bangun tidur
Aku ndelok bayangan ireng obah,Saya nampak bayangan gelap bergerak
Kupingku muni banter bengi,Saya telinga berdengung kuat waktu malam
Kupingku mampet sakwise adus,Saya telinga terasa tersumbat selepas mandi
Aku ora krungu nek alon,Saya kurang dengar bila bercakap perlahan
Irungku mampet sedina,Saya hidung tersumbat sepanjang hari
Irungku metu banyu nek adhem,Saya hidung berair ketika cuaca sejuk
Aku wahing akeh esuk,Saya bersin banyak waktu pagi
Tenggorokanku lara nek ngombe adhem,Saya tekak terasa sakit bila minum air sejuk
Aku swara alon sakwise watuk,Saya suara menjadi perlahan selepas batuk
Aku angel ngomong merga ilang swara,Saya sukar bercakap kerana suara hilang
Aku watuk garing sedina,Saya batuk tanpa kahak sepanjang hari
Aku ambegan cekak nek mlaku,Saya nafas terasa pendek ketika berjalan
Aku angel ambegan jero,Saya sukar menarik nafas dalam-dalam
Dadaku kenceng nek turu,Saya dada terasa ketat waktu baring
Atiku deg-degan sakwise mangan,Saya jantung berdegup laju selepas makan
Aku kesel sanajan kerja entheng,Saya cepat penat walaupun kerja ringan
Awakku lemes sedina,Saya badan terasa lemah sepanjang hari
Dadaku nyut-nyutan nek ambegan,Saya rasa dada berdenyut ketika bernafas
Aku mumet sakwise munggah tangga,Saya pening selepas menaiki tangga
Guluku lara nek noleh tengen,Saya leher sakit bila menoleh ke kanan
Pundakku pegel sakwise ngangkat barang,Saya bahu terasa lenguh selepas mengangkat barang
Tanganku kebas sakwise nulis suwe,Saya tangan terasa kebas selepas menulis lama
Drijiku kaku esuk,Saya jari menjadi kaku waktu pagi
Sikilku adhem sanajan nganggo sepatu,Saya kaki terasa sejuk walaupun memakai kasut
Dengkulku lemes nek ngadeg suwe,Saya lutut terasa lemah bila berdiri lama
Pahaku kenceng sakwise mlaku adoh,Saya paha terasa tegang selepas berjalan jauh
Betisku lara nek tangi saka lungguh,Saya betis sakit bila bangun dari duduk
Tlapan sikilku lara sakwise ngadeg suwe,Saya tapak kaki terasa sakit selepas berdiri lama
Pinggangku panas nek lungguh suwe,Saya pinggang terasa panas bila duduk lama
Punggungku abot bengi,Saya belakang terasa berat waktu malam
Awakku lemes sakwise kerja,Saya badan terasa lemah selepas bekerja
Aku burem nek ndelok adoh,Saya mata terasa kabur bila melihat jauh
Telingaku lara nek ana swara banter,Saya telinga terasa sakit bila ada bunyi kuat
Aku pengin nglamar bantuan keuangan,Saya mahu memohon bantuan kewangan
Aku iso ngisi formulir iki neng endi,Di mana saya boleh isi borang ini
Aku wis ngirim pengajuan online,Saya sudah hantar permohonan online
Kapan hasil bakal metu,Bila keputusan akan keluar
Aku butuh salinan IC,Saya perlukan salinan IC
Aku pengin daftar akun anyar,Saya mahu daftar akaun baru
Aku lali sandi,Saya terlupa kata laluan
Aku pengin nganyari data pribadi,Saya ingin kemaskini maklumat peribadi
Formulir iki kudu ditandatangani,Borang ini perlu ditandatangani
Aku pengin cek status pengajuan,Saya mahu semak status permohonan
Dokumen iki ora lengkap,Dokumen ini tidak lengkap
Aku kudu upload dokumen,Saya perlu muat naik dokumen
Mangga isi kabeh bagian formulir,Sila isi semua bahagian borang
Aku pengin ngajokake banding,Saya mahu buat rayuan
Ajuan ku wis disetujoni,Permohonan saya telah diluluskan
Ajuan ku ditolak,Permohonan saya ditolak
Aku pengin ganti alamat,Saya mahu tukar alamat
Aku butuh surat konfirmasi,Saya perlukan surat pengesahan
Aku pengin nyetak formulir,Saya mahu cetak borang
Aku ora ngerti cara ngisi formulir,Saya tidak faham cara isi borang
Aku pengin daftar bantuan pemerintah,Saya mahu daftar bantuan kerajaan
Aku kudu teka kantor,Saya perlu hadir ke pejabat
Kantor mbukak jam pira,Pejabat buka pukul berapa
Aku pengin njupuk nomor giliran,Saya mahu ambil nombor giliran
Aku wis ngenteni suwe,Saya sudah tunggu lama
Aku pengin takon bab pengajuan,Saya mahu tanya tentang permohonan
Aku butuh bantuan staf,Saya perlukan bantuan staf
Tulung nggawa dokumen asli,Sila bawa dokumen asal
Aku pengin nggawe kartu anyar,Saya mahu buat kad baru
Kartuku wis kadaluwarsa,Kad saya sudah tamat tempoh
Aku pengin perpanjang lisensi,Saya mahu perbaharui lesen
Aku kudu njupuk nomor antrean,Saya perlu ambil nombor antrian
Aku pengin daftar bisnis,Saya mahu daftar perniagaan
Aku butuh sertifikat registrasi,Saya perlukan sijil pendaftaran
Aku pengin nutup akun,Saya mahu tutup akaun
Aku pengin mbukak akun anyar,Saya mahu buka akaun baru
Aku kudu ngisi formulir pengajuan,Saya perlu isi borang permohonan
Aku pengin ngirim dokumen lewat email,Saya mahu hantar dokumen melalui email
Aku ora iso akses sistem,Saya tidak dapat akses sistem
Sistem lagi maintenance,Sistem sedang dalam penyelenggaraan
Aku pengin nggawe janji,Saya mahu buat temujanji
Janjianku sesuk,Tarikh temujanji saya esok
Aku ketinggalan janji,Saya terlepas temujanji
Aku pengin ganti tanggal,Saya mahu tukar tarikh
Aku butuh resi pembayaran,Saya perlukan resit pembayaran
Aku wis mbayar,Saya sudah buat pembayaran
Bisa bayar online,Bayaran boleh dibuat online
Aku pengin cek pembayaran,Saya mahu semak bayaran
Aku butuh refund,Saya perlukan refund
Aku pengin nggawe pengaduan,Saya mahu buat aduan
Pengaduanku wis ditampa,Aduan saya telah diterima
Aku pengin nganyari status,Saya mahu kemaskini status
Aku butuh bantuan teknis,Saya perlu bantuan teknikal
Aku ora iso login,Saya tidak boleh log masuk
Mangga coba maneh mengko,Sila cuba lagi nanti
Aku pengin nyetak resi,Saya mahu cetak resit
Aku butuh bantuan ngisi formulir,Saya perlu bantuan isi borang
Aku pengin nggawe pengajuan anyar,Saya mahu buat permohonan baru
Ajuan lagi diproses,Permohonan sedang diproses
Mangga ngenteni notifikasi,Sila tunggu notifikasi
Aku pengin hubungi pegawai,Saya mahu hubungi pegawai
Nomor telpon ora aktif,Nombor telefon tidak aktif
Aku pengin ngirim surat resmi,Saya mahu hantar surat rasmi
Aku butuh cap resmi,Saya perlukan cap rasmi
Aku pengin salinan dokumen,Saya mahu salinan dokumen
Dokumen iki kudu diverifikasi,Dokumen ini perlu disahkan
Aku pengin njupuk dokumen,Saya mahu ambil dokumen
Aku teka njupuk kartu,Saya datang untuk ambil kad
Kartu wis siap,Kad sudah siap
Aku pengin nggawe laporan,Saya mahu buat laporan
Aku pengin daftar bantuan kesehatan,Saya mahu daftar bantuan kesihatan
Aku pengin daftar bantuan pendidikan,Saya mahu daftar bantuan pendidikan
Aku kudu ngisi formulir online,Saya perlu isi borang online
Aku ora yakin data iki,Saya tidak pasti maklumat ini
Mangga cek maneh data,Sila semak semula maklumat
Aku pengin ganti data akun,Saya mahu ubah maklumat akaun
Aku butuh verifikasi email,Saya perlukan pengesahan email
Kode OTP wis dikirim,Kod OTP telah dihantar
Aku ora nampa OTP,Saya tidak terima OTP
Aku pengin nyoba maneh,Saya mahu cuba sekali lagi
Aku butuh layanan pelanggan,Saya perlukan bantuan pelanggan
Aku pengin cek kelayakan,Saya mahu semak kelayakan
Aku layak bantuan,Saya layak untuk bantuan
Aku ora layak,Saya tidak layak
Aku pengin nganyari pengajuan,Saya mahu kemaskini permohonan
Aku pengin mbatalake pengajuan,Saya mahu batalkan permohonan
Aku pengin nglamar paspor anyar,Saya mahu mohon pasport baharu
Aku kudu perpanjang paspor,Saya perlu perbaharui pasport
Aku kantor imigrasi paling cedhak neng endi,Di mana pejabat imigresen terdekat
Aku pengin daftar MyKad,Saya mahu daftar MyKad
Aku kudu ganti MyKad rusak,Saya perlu ganti MyKad rosak
Aku kelangan KTP,Saya kehilangan kad pengenalan
Aku pengin nggawe laporan ilang,Saya mahu buat laporan kehilangan
Aku butuh salinan akta lahir,Saya perlu salinan sijil kelahiran
Aku pengin daftar kelahiran anak,Saya mahu daftar kelahiran anak
Aku pengin daftar pernikahan,Saya mahu daftar perkahwinan
Aku butuh surat nikah,Saya perlukan sijil nikah
Aku pengin nglamar cerai,Saya mahu buat permohonan cerai
Aku pengin daftar pajak penghasilan,Saya mahu daftar cukai pendapatan
Aku kudu nganyari data pajak,Saya perlu kemaskini maklumat cukai
Aku pengin cek pajak,Saya mahu semak baki cukai
Aku pengin bayar pajak,Saya mahu buat pembayaran cukai
Aku pengin nglamar bantuan B40,Saya mahu mohon bantuan B40
Aku pengin daftar STR,Saya mahu daftar bantuan STR
Aku pengin cek kelayakan bantuan,Saya mahu semak kelayakan bantuan
Aku pengin nganyari akun bank,Saya mahu kemaskini akaun bank untuk bantuan
Aku pengin nglamar SIM,Saya mahu mohon lesen memandu
Aku kudu perpanjang SIM,Saya perlu perbaharui lesen memandu
Aku pengin tes nyetir,Saya mahu ambil ujian memandu
Aku pengin daftar kendaraan,Saya mahu daftar kenderaan
Aku kudu ganti nama pemilik,Saya perlu tukar nama pemilik kereta
Aku pengin bayar denda lalu lintas,Saya mahu bayar saman trafik
Aku pengin cek denda,Saya mahu semak saman
Aku pengin nglamar izin usaha,Saya mahu mohon permit perniagaan
Aku kudu perpanjang izin usaha,Saya perlu perbaharui lesen perniagaan
Aku pengin daftar perusahaan,Saya mahu daftar syarikat SSM
Aku pengin cek status perusahaan,Saya mahu semak status syarikat
Aku pengin nglamar grant pemerintah,Saya mahu mohon geran kerajaan
Aku pengin daftar program pelatihan,Saya mahu daftar program latihan
Aku pengin nglamar bantuan usaha,Saya mahu mohon bantuan usahawan
Aku pengin daftar pencari kerja,Saya mahu daftar sebagai pencari kerja
Aku pengin nganyari profil kerja,Saya mahu kemaskini profil pekerjaan
Aku pengin nglamar subsidi omah,Saya mahu mohon subsidi rumah
Aku pengin daftar PR1MA,Saya mahu daftar perumahan PR1MA
Aku pengin cek pengajuan omah,Saya mahu semak status permohonan rumah
Aku pengin nglamar bantuan pendidikan,Saya mahu mohon bantuan pendidikan
Aku pengin daftar beasiswa,Saya mahu daftar biasiswa
Aku pengin ngirim dokumen pendukung,Saya mahu hantar dokumen sokongan
Aku pengin cek hasil pengajuan,Saya mahu semak keputusan permohonan
Aku pengin banding hasil,Saya mahu buat rayuan keputusan
Aku pengin ganti nomor telpon,Saya mahu kemaskini nombor telefon
Aku pengin ganti alamat omah,Saya mahu tukar alamat rumah
Aku pengin daftar akun e-government,Saya mahu daftar akaun e-Government
Aku ora iso akses portal,Saya tidak boleh akses portal
Aku pengin reset sandi,Saya mahu reset kata laluan
Aku butuh bantuan login,Saya perlukan bantuan login
Aku pengin hubungi pusat bantuan,Saya mahu hubungi pusat bantuan
Aku pengin nggawe laporan umum,Saya mahu buat laporan awam
Aku pengin lapor dalan rusak,Saya mahu lapor jalan rosak
Aku pengin lapor lampu jalan rusak,Saya mahu lapor lampu jalan rosak
Aku pengin lapor masalah sampah,Saya mahu lapor masalah sampah
Aku pengin nglamar izin penjaja,Saya mahu mohon lesen penjaja
Aku pengin daftar pasar malam,Saya mahu daftar pasar malam
Aku pengin nglamar izin acara,Saya mahu mohon permit acara
Aku pengin ngirim usulan,Saya mahu hantar cadangan kepada kerajaan
Aku pengin cek jadwal layanan,Saya mahu semak jadual perkhidmatan
Aku pengin booking jadwal,Saya mahu tempah slot temujanji
Aku pengin batal janji,Saya mahu batalkan temujanji
Aku pengin ganti jadwal,Saya mahu tukar waktu temujanji
Aku pengin nyetak surat resmi,Saya mahu cetak surat rasmi
Aku pengin download formulir,Saya mahu muat turun borang
Aku pengin ngisi manual,Saya mahu isi borang secara manual
Aku pengin kirim formulir lewat pos,Saya mahu hantar borang melalui pos
Aku pengin njupuk nomor neng loket,Saya mahu ambil nombor di kaunter
Aku pengin ngomong karo petugas,Saya mahu bercakap dengan pegawai
Aku pengin penjelasan luwih lanjut,Saya mahu minta penjelasan lanjut
Aku pengin cek dokumen,Saya mahu semak dokumen saya
Aku pengin nganyari dokumen lawas,Saya mahu kemaskini dokumen lama
Aku pengin nglamar salinan resmi,Saya mahu mohon salinan rasmi
Aku pengin verifikasi dokumen,Saya mahu sahkan dokumen
Aku pengin njupuk sertifikat,Saya mahu ambil sijil
Aku pengin cek persetujuan,Saya mahu semak kelulusan
Aku pengin mriksa maneh,Saya mahu buat semakan semula
Aku pengin nggawe akun anyar neng sistem,Saya mahu daftar akaun baru dalam sistem
Aku pengin logout,Saya mahu keluar dari akaun
Aku pengin nganyari profil pengguna,Saya mahu kemaskini profil pengguna
Aku pengin mbusak akun,Saya mahu padam akaun
Aku pengin ngirim feedback,Saya mahu hantar maklum balas
Aku pengin menehi rating layanan,Saya mahu nilai perkhidmatan
Aku pengin nggawe pengaduan resmi,Saya mahu buat aduan rasmi
Aku pengin cek status pengaduan,Saya mahu semak status aduan
Aku pengin notifikasi SMS,Saya mahu terima notifikasi melalui SMS
Aku pengin notifikasi email,Saya mahu terima notifikasi melalui email
Aku pengin nglamar kartu OKU,Saya mahu mohon kad OKU
Aku kudu nganyari data OKU,Saya perlu kemaskini maklumat OKU
Aku pengin nglamar bantuan lansia,Saya mahu mohon bantuan warga emas
Aku pengin daftar program kesejahteraan,Saya mahu daftar program kebajikan
Aku pengin cek bantuan sosial,Saya mahu semak bantuan kebajikan
Aku pengin nglamar bantuan bencana,Saya mahu mohon bantuan bencana
Aku pengin daftar bantuan banjir,Saya mahu daftar bantuan banjir
Aku pengin nglamar bantuan pangan,Saya mahu mohon bantuan makanan
Aku pengin nglamar subsidi listrik,Saya mahu mohon subsidi elektrik
Aku pengin nglamar subsidi banyu,Saya mahu mohon subsidi air
Aku pengin daftar bantuan sewa omah,Saya mahu daftar bantuan sewa rumah
Aku pengin cek kelayakan subsidi,Saya mahu semak kelayakan subsidi
Aku pengin nglamar bantuan pelajar,Saya mahu mohon bantuan pelajar
Aku pengin daftar pinjaman pendidikan,Saya mahu daftar pinjaman pendidikan
Aku pengin cek saldo pinjaman,Saya mahu semak baki pinjaman
Aku pengin mbayar pinjaman pendidikan,Saya mahu bayar pinjaman pendidikan
Aku pengin nglamar penangguhan pembayaran,Saya mahu mohon penangguhan bayaran
Aku kudu nganyari data pelajar,Saya mahu kemaskini maklumat pelajar
Aku pengin daftar kursus pelatihan,Saya mahu daftar kursus latihan
Aku pengin cek jadwal kursus,Saya mahu semak jadual kursus
Aku pengin nglamar sertifikat keahlian,Saya mahu mohon sijil kemahiran
Aku pengin daftar ujian,Saya mahu daftar peperiksaan
Aku pengin cek hasil ujian,Saya mahu semak keputusan peperiksaan
Aku pengin nyetak slip hasil,Saya mahu cetak slip keputusan
Aku pengin verifikasi sertifikat,Saya mahu mohon pengesahan sijil
Aku pengin daftar pemilih,Saya mahu daftar pengundi
Aku pengin cek status pemilih,Saya mahu semak status pengundi
Aku kudu nganyari alamat pemilih,Saya mahu kemaskini alamat pengundi
Aku pengin cek lokasi milih,Saya mahu semak lokasi mengundi
Aku pengin lapor ilang kartu pemilih,Saya mahu lapor kehilangan kad pengundi
Aku pengin nglamar izin senjata,Saya mahu mohon lesen senjata
Aku kudu perpanjang izin senjata,Saya mahu perbaharui lesen senjata
Aku pengin daftar asu peliharaan,Saya mahu daftar anjing peliharaan
Aku pengin nglamar izin peliharaan,Saya mahu mohon permit peliharaan
Aku pengin lapor kewan ilang,Saya mahu lapor haiwan hilang
Aku pengin nglamar izin mancing,Saya mahu mohon lesen memancing
Aku pengin daftar perahu nelayan,Saya mahu daftar bot nelayan
Aku pengin nglamar izin nangkep iwak,Saya mahu mohon permit menangkap ikan
Aku pengin cek lisensi nelayan,Saya mahu semak lesen nelayan
Aku pengin nglamar bantuan tani,Saya mahu mohon bantuan pertanian
Aku pengin daftar subsidi pupuk,Saya mahu daftar subsidi baja
Aku pengin nglamar bantuan tandur,Saya mahu mohon bantuan tanaman
Aku pengin cek bantuan tani,Saya mahu semak status bantuan pertanian
Aku pengin nglamar bantuan nelayan,Saya mahu mohon bantuan nelayan
Aku pengin daftar subsidi solar,Saya mahu daftar subsidi diesel
Aku pengin nglamar izin ekspor,Saya mahu mohon permit eksport
Aku pengin nglamar izin impor,Saya mahu mohon permit import
Aku pengin daftar pajak jualan,Saya mahu daftar cukai jualan
Aku pengin cek pajak perusahaan,Saya mahu semak cukai syarikat
Aku pengin ngirim laporan keuangan,Saya mahu hantar laporan kewangan
Aku pengin nggawe akun bisnis online,Saya mahu daftar akaun perniagaan online
Aku pengin nglamar izin restoran,Saya mahu mohon lesen restoran
Aku pengin nglamar izin pangan,Saya mahu mohon lesen makanan
Aku pengin daftar pekerja asing,Saya mahu daftar pekerja asing
Aku pengin nglamar izin kerja,Saya mahu mohon permit kerja
Aku pengin cek izin kerja,Saya mahu semak status permit kerja
Aku kudu perpanjang izin kerja,Saya mahu perbaharui permit kerja
Aku pengin lapor pekerja,Saya mahu lapor pekerja
Aku kudu nganyari data pekerja,Saya mahu kemaskini maklumat pekerja
Aku pengin nglamar asuransi sosial,Saya mahu mohon insurans sosial
Aku pengin cek iuran,Saya mahu semak caruman
Aku pengin klaim asuransi,Saya mahu buat tuntutan insurans
Aku pengin ngirim dokumen klaim,Saya mahu hantar dokumen tuntutan
Aku pengin cek status klaim,Saya mahu semak status tuntutan
Aku pengin nglamar bantuan medis pemerintah,Saya mahu mohon bantuan perubatan kerajaan
Aku pengin daftar klinik pemerintah,Saya mahu daftar klinik kerajaan
Aku pengin nggawe janji rumah sakit,Saya mahu buat temujanji hospital
Aku pengin cek rekam medis,Saya mahu semak rekod kesihatan
Aku kudu nganyari rekam medis,Saya mahu kemaskini rekod kesihatan
Aku pengin nglamar bantuan vaksin,Saya mahu mohon bantuan vaksin
Aku pengin daftar program kesehatan,Saya mahu daftar program kesihatan
Aku pengin cek kelayakan perawatan,Saya mahu semak kelayakan rawatan
Aku pengin nglamar cuti sakit,Saya mahu mohon cuti sakit rasmi
Aku pengin ngirim surat sakit,Saya mahu hantar sijil sakit
Aku pengin nglamar bantuan keluarga,Saya mahu mohon bantuan keluarga
Aku pengin daftar bantuan anak,Saya mahu daftar bantuan kanak-kanak
Aku pengin cek bantuan keluarga,Saya mahu semak status bantuan keluarga
Aku kudu nganyari data keluarga,Saya mahu kemaskini maklumat keluarga
Aku pengin nglamar bantuan ibu tunggal,Saya mahu mohon bantuan ibu tunggal
Aku pengin daftar bantuan pelajar OKU,Saya mahu daftar bantuan OKU pelajar
Aku pengin nglamar bantuan pendidikan khusus,Saya mahu mohon bantuan pendidikan khas
Aku pengin cek program pemerintah terbaru,Saya mahu semak program kerajaan terkini
Aku pengin nglamar SIM internasional,Saya mahu mohon lesen memandu antarabangsa
Aku pengin nyetak lisensi digital,Saya perlu cetak salinan lesen digital
Aku pengin daftar akun MyJPJ,Saya mahu daftar akaun MyJPJ
Aku pengin cek poin pelanggaran,Saya mahu semak mata demerit
Aku pengin nglamar pengecualian denda,Saya mahu mohon pengecualian denda
Aku pengin mbayar pajak jalan,Saya mahu bayar cukai jalan
Aku kudu perpanjang pajak jalan,Saya mahu perbaharui cukai jalan
Aku pengin ganti nomor plat,Saya mahu tukar nombor pendaftaran
Aku pengin lelang nomor plat,Saya mahu bida nombor pendaftaran
Aku pengin cek hasil lelang,Saya mahu semak keputusan bidaan
Aku pengin daftar akun e-Filing,Saya mahu daftar akaun e-Filing
Aku pengin lapor pajak online,Saya mahu hantar borang cukai secara elektronik
Aku pengin nglamar pengurangan pajak,Saya mahu mohon pelepasan cukai
Aku kudu nganyari tanggungan pajak,Saya mahu kemaskini tanggungan cukai
Aku pengin cek riwayat pembayaran pajak,Saya mahu semak rekod bayaran cukai
Aku pengin nglamar surat penghasilan,Saya mahu mohon sijil pendapatan
Aku pengin daftar SSM online,Saya mahu daftar akaun SSM secara online
Aku kudu nganyari data perusahaan,Saya mahu kemaskini butiran syarikat
Aku pengin ngirim laporan tahunan,Saya mahu hantar penyata tahunan
Aku pengin nglamar pembubaran perusahaan,Saya mahu mohon pembubaran syarikat
Aku pengin cek izin premis,Saya mahu semak status lesen premis
Aku pengin nglamar izin papan tanda,Saya mahu mohon lesen papan tanda
Aku kudu perpanjang izin papan tanda,Saya mahu perbaharui lesen papan tanda
Aku pengin nglamar izin renovasi,Saya mahu mohon permit ubah suai bangunan
Aku pengin ngirim rencana bangunan,Saya mahu hantar pelan bangunan
Aku pengin cek persetujuan rencana,Saya mahu semak status kelulusan pelan
Aku pengin nglamar sertifikat kelayakan,Saya mahu mohon CF bangunan
Aku pengin daftar utilitas banyu,Saya mahu daftar utiliti air
Aku pengin daftar utilitas listrik,Saya mahu daftar utiliti elektrik
Aku pengin ganti nama akun utilitas,Saya mahu tukar nama akaun utiliti
Aku pengin nutup akun utilitas,Saya mahu tutup akaun utiliti
Aku pengin cek tagihan utilitas,Saya mahu semak bil utiliti
Aku pengin bayar cicilan,Saya mahu bayar bil secara ansuran
Aku pengin nglamar potongan tagihan,Saya mahu mohon rebat bil
Aku pengin lapor gangguan banyu,Saya mahu lapor gangguan bekalan air
Aku pengin lapor listrik mati,Saya mahu lapor gangguan elektrik
Aku pengin cek jadwal gangguan,Saya mahu semak jadual gangguan
Aku pengin daftar akun MySejahtera,Saya mahu daftar akaun MySejahtera
Aku kudu nganyari status vaksin,Saya mahu kemaskini status vaksinasi
Aku pengin download sertifikat vaksin,Saya mahu muat turun sijil vaksin
Aku pengin nggawe janji vaksin,Saya mahu buat temujanji vaksin
Aku pengin cek pusat vaksin,Saya mahu semak pusat vaksinasi
Aku pengin daftar cek kesehatan,Saya mahu daftar ujian kesihatan
Aku pengin cek hasil lab,Saya mahu semak keputusan ujian makmal
Aku kudu upload hasil tes,Saya mahu muat naik keputusan ujian
Aku pengin nglamar bantuan perawatan khusus,Saya mahu mohon bantuan rawatan khusus
Aku pengin daftar program screening,Saya mahu daftar program saringan
Aku pengin cek rujukan rumah sakit,Saya mahu semak status rujukan hospital
Aku kudu nganyari rekam klinik,Saya mahu kemaskini rekod klinik
Aku pengin daftar akun eKasih,Saya mahu daftar akaun eKasih
Aku pengin cek status eKasih,Saya mahu semak status eKasih
Aku kudu nganyari profil eKasih,Saya mahu kemaskini profil eKasih
Aku pengin nglamar bantuan hidup,Saya mahu mohon bantuan sara hidup
Aku pengin cek pembayaran bantuan,Saya mahu semak pembayaran bantuan
Aku kudu nganyari akun bank bantuan,Saya mahu kemaskini akaun bank bantuan
Aku pengin lapor perubahan penghasilan,Saya mahu lapor perubahan pendapatan
Aku pengin nglamar bantuan sewa usaha,Saya mahu mohon bantuan sewaan perniagaan
Aku pengin daftar program digitalisasi,Saya mahu daftar program digitalisasi
Aku pengin nglamar grant teknologi,Saya mahu mohon geran teknologi
Aku pengin cek persetujuan grant,Saya mahu semak kelulusan geran
Aku pengin ngirim laporan progres,Saya mahu hantar laporan kemajuan projek
Aku pengin nglamar perpanjangan proyek,Saya mahu mohon lanjutan tempoh projek
Aku kudu nganyari data proyek,Saya mahu kemaskini maklumat projek
Aku pengin daftar akun investor,Saya mahu daftar akaun pelabur
Aku pengin nglamar insentif investasi,Saya mahu mohon insentif pelaburan
Aku pengin cek pengajuan investasi,Saya mahu semak status permohonan pelaburan
Aku pengin ngirim dokumen investasi,Saya mahu hantar dokumen pelaburan
Aku pengin nglamar izin ekspor khusus,Saya mahu mohon lesen eksport khas
