source,target
可以幫我報名活動?,Boleh bantu saya daftar aktiviti?
我要搵義工,Saya mahu jumpa sukarelawan
請介紹我俾佢哋,Tolong kenalkan saya kepada mereka
可以幫我搵支援小組?,Boleh bantu saya cari kumpulan sokongan?
我需要情緒支援,Saya perlukan bantuan emosi
輔導中心喺邊?,Di mana pusat kaunseling?
可以幫我約輔導?,Boleh bantu saya buat temujanji kaunseling?
我要同輔導員傾計,Saya mahu bercakap dengan kaunselor
請畀我私人空間,Tolong beri saya ruang peribadi
可以幫我冷靜?,Boleh bantu saya tenangkan diri?
我覺得有壓力,Saya rasa tertekan
邊度有安靜地方?,Di mana tempat yang sunyi?
可以教我慢慢呼吸?,Boleh bantu saya tarik nafas perlahan?
我要放鬆心情,Saya mahu berehat minda
幫我搵輕音樂,Tolong bantu saya cari muzik santai
可以幫我用耳機?,Boleh bantu saya guna fon kepala?
我要聽音樂,Saya mahu dengar muzik
最近書店喺邊?,Di mana kedai buku terdekat?
可以幫我搵小說?,Boleh bantu saya cari novel?
我要睇書,Saya mahu baca buku
請介紹好書,Tolong cadangkan buku menarik
可以幫我搵雜誌?,Boleh bantu saya cari majalah?
我要搵輕鬆讀物,Saya mahu cari bahan bacaan ringan
閱讀區喺邊?,Di mana tempat membaca?
可以幫我搵舒服座位?,Boleh bantu saya cari tempat duduk selesa?
我要邊休息邊睇書,Saya mahu rehat sambil membaca
請畀我多盞燈,Tolong beri saya lampu tambahan
可以幫我調光?,Boleh bantu saya laraskan cahaya?
我需要光啲,Saya perlukan cahaya terang
額外燈掣喺邊?,Di mana suis lampu tambahan?
可以幫我搵工作枱?,Boleh bantu saya cari meja kerja?
我要整理啲嘢,Saya mahu susun barang saya
幫我執枱,Tolong bantu saya kemas meja
可以幫我搵收納箱?,Boleh bantu saya cari kotak simpanan?
我要收好呢啲文件,Saya mahu simpan dokumen ini
儲物櫃喺邊?,Di mana almari simpanan?
可以幫我開櫃?,Boleh bantu saya buka almari?
我搵唔到櫃鎖匙,Saya tak jumpa kunci almari
幫我搵鎖匙,Tolong bantu saya cari kunci
可以幫我整理文件?,Boleh bantu saya susun fail?
我要貼標籤,Saya mahu labelkan dokumen
幫我寫標籤,Tolong bantu saya tulis label
可以幫我搵筆?,Boleh bantu saya cari pen?
我冇筆,Saya kehabisan pen
文具店喺邊?,Di mana kedai alat tulis?
可以幫我買簿?,Boleh bantu saya beli buku nota?
我要寫嘢,Saya mahu tulis sesuatu
請畀我白紙,Tolong beri saya kertas kosong
可以幫我摺紙?,Boleh bantu saya lipat kertas?
我要做清單,Saya mahu buat senarai
幫我檢查清單,Tolong bantu saya semak senarai
可以幫我加項目?,Boleh bantu saya tambah item?
我唔記得咗啲嘢,Saya terlupa sesuatu
之後提醒我,Tolong ingatkan saya nanti
可以幫我set提醒?,Boleh bantu saya set peringatan?
我要安排時間表,Saya mahu atur jadual
幫我計劃今日,Tolong bantu saya rancang hari ini
可以幫我搵空閒時間?,Boleh bantu saya cari masa lapang?
我今日下晝想休息,Saya mahu berehat petang ini
幫我搵輕鬆活動,Tolong bantu saya cari aktiviti santai
可以幫我搵娛樂地方?,Boleh bantu saya cari tempat hiburan?
我要出去行下,Saya mahu keluar bersiar-siar
可以幫我搵衫舖?,Boleh bantu saya cari kedai pakaian?
我要買新衫,Saya mahu beli baju baru
試身室喺邊?,Di mana bilik persalinan?
可以幫我揀碼?,Boleh bantu saya pilih saiz?
我唔肯定自己碼數,Saya tak pasti saiz saya
請介紹合適衣服,Tolong cadangkan pakaian sesuai
可以幫我去收銀處付款?,Boleh bantu saya bayar di kaunter?
我要試呢對鞋,Saya mahu cuba kasut ini
鞋架喺邊?,Di mana rak kasut?
可以幫我搵其他顏色?,Boleh bantu saya cari warna lain?
我鍾意呢隻色,Saya suka warna ini
幫我包禮物,Tolong bantu saya bungkus hadiah
可以加賀卡嗎?,Boleh tambah kad ucapan?
我要寫短訊息,Saya mahu tulis mesej pendek
幫我送禮物,Tolong bantu saya hantar hadiah
可以幫我搵呢個地址?,Boleh bantu saya cari alamat ini?
我需要快啲嘅路,Saya perlukan arah cepat
而家帶我去嗰度,Tolong bawa saya ke sana sekarang
可以幫我訂位?,Boleh bantu saya tempah tempat?
我要預約,Saya mahu buat tempahan
預約櫃檯喺邊?,Di mana kaunter tempahan?
可以幫我確認預約?,Boleh bantu saya sahkan tempahan?
我要改預約,Saya mahu ubah tempahan
幫我取消預約,Tolong batalkan tempahan ini
可以幫我打印票?,Boleh bantu saya cetak tiket?
我張票唔見咗,Saya kehilangan tiket saya
幫我搵返,Tolong bantu saya cari semula
可以幫我入場?,Boleh bantu saya masuk ke acara?
我需要入場證,Saya perlukan pas masuk
正門喺邊?,Di mana pintu utama?
可以幫我搵座位?,Boleh bantu saya cari tempat duduk saya?
我搵唔到座位號碼,Saya tak jumpa nombor tempat duduk
請指我座位,Tolong tunjukkan tempat duduk
可以幫我坐前面?,Boleh bantu saya duduk di depan?
我要睇清楚,Saya mahu lihat dengan jelas
唔好阻住我視線,Tolong jangan halang pandangan saya
可以幫我調整椅子?,Boleh bantu saya laraskan kerusi?
我覺得唔舒服,Saya rasa tak selesa
幫我搵第二個位,Tolong bantu saya cari tempat lain
可以幫我出去一下?,Boleh bantu saya keluar sebentar?
我要出去透氣,Saya mahu ambil udara
喺度等我,Tolong tunggu saya di sini
可以幫我再入場?,Boleh bantu saya kembali masuk?
我需要去廁所嘅方向,Saya perlukan bantuan arah tandas
傷殘人士廁所喺邊?,Di mana tandas OKU?
可以幫我用設施?,Boleh bantu saya guna fasiliti ini?
我唔識用呢部機,Saya tak tahu cara guna mesin ini
請示範用法,Tolong tunjuk cara guna
可以幫我睇說明?,Boleh bantu saya baca arahan?
我需要多啲解釋,Saya perlukan penerangan lanjut
請逐步解釋,Tolong jelaskan langkah demi langkah
可以再講多次?,Boleh bantu saya ulang sekali lagi?
我仲係唔明,Saya masih tak faham
慢慢教我,Tolong bantu saya faham perlahan
可以幫我搵電話號碼?,Boleh bantu saya cari nombor telefon?
我要聯絡一個人,Saya mahu hubungi seseorang
請打呢個號碼,Tolong dail nombor ini
可以幫我發訊息?,Boleh bantu saya hantar mesej?
我要快啲寫訊息,Saya mahu tulis mesej cepat
幫我檢查拼寫,Tolong bantu saya semak ejaan
可以幫我改句子?,Boleh bantu saya betulkan ayat?
我要用簡單語言,Saya mahu gunakan bahasa mudah
幫我講清楚,Tolong bantu saya bercakap dengan jelas
可以幫我練習講嘢?,Boleh bantu saya berlatih bercakap?
我要提升自信,Saya mahu tingkatkan keyakinan
請支持我,Tolong beri sokongan kepada saya
可以幫我識新朋友?,Boleh bantu saya cari rakan baru?
我要認識人,Saya mahu berkenalan
請介紹我,Tolong perkenalkan saya
可以幫我開話題?,Boleh bantu saya mulakan perbualan?
我唔敢講嘢,Saya malu untuk bercakap
幫我放鬆,Tolong bantu saya rasa selesa
可以幫我搵週末活動?,Boleh bantu saya cari aktiviti hujung minggu?
我要出去行街,Saya mahu keluar berjalan
請介紹好去處,Tolong cadangkan tempat menarik
可以幫我搵咖啡店?,Boleh bantu saya cari kafe?
我要飲拉茶,Saya mahu minum teh tarik
嘛嘛檔喺邊?,Di mana kedai mamak?
可以幫我搵食晚飯地方?,Boleh bantu saya cari tempat makan malam?
我要同朋友食飯,Saya mahu makan bersama kawan
幫我揀餐牌,Tolong bantu saya pilih menu
可以幫我點快餐?,Boleh bantu saya pesan makanan segera?
我要熱食,Saya mahu makanan panas
請加飲品,Tolong tambah minuman
可以幫我搵冰?,Boleh bantu saya cari ais?
我要多杯凍飲,Saya mahu minuman sejuk tambahan
幫我清枱,Tolong bantu saya bersihkan meja
可以幫我抹枱?,Boleh bantu saya lap meja?
我需要毛巾,Saya perlukan tuala
請畀我暖水,Tolong beri saya air suam
可以幫我搵乾淨廁所?,Boleh bantu saya cari tandas bersih?
我要洗手,Saya mahu cuci tangan
請畀肥皂,Tolong beri sabun
可以幫我抹乾手?,Boleh bantu saya keringkan tangan?
我需要多啲紙巾,Saya perlukan tisu tambahan
可以幫我搵手機店?,Boleh bantu saya cari kedai telefon?
我要買SIM卡,Saya mahu beli kad SIM
登記SIM卡櫃檯喺邊?,Di mana kaunter pendaftaran SIM?
可以幫我開通號碼?,Boleh bantu saya aktifkan nombor?
我需要數據上網,Saya perlukan data internet
幫我增值,Tolong bantu saya tambah kredit
可以幫我查餘額?,Boleh bantu saya semak baki?
我要轉數據計劃,Saya mahu tukar pelan data
電訊服務中心喺邊?,Di mana pusat servis telco?
可以幫我修網絡?,Boleh bantu saya baiki rangkaian?
我連唔到線,Saya tak dapat sambungan
幫我重開電話,Tolong bantu saya restart telefon
可以幫我更新app?,Boleh bantu saya kemaskini aplikasi?
我要刪舊檔,Saya mahu padam fail lama
回收箱喺邊?,Di mana tong kitar semula?
可以幫我分類垃圾?,Boleh bantu saya asingkan sampah?
我要丟膠樽,Saya mahu buang botol plastik
幫我搵紙回收箱,Tolong bantu saya cari tong kitar semula kertas
可以幫我丟食物垃圾?,Boleh bantu saya buang sisa makanan?
我要保持清潔,Saya mahu jaga kebersihan
幫我抹地,Tolong bantu saya lap lantai
可以幫我搵掃把?,Boleh bantu saya cari penyapu?
我需要水桶,Saya perlukan baldi air
水喉喺邊?,Di mana paip air?
可以幫我裝水?,Boleh bantu saya isi air?
我要喺度洗手,Saya mahu basuh tangan di sini
幫我洗鞋,Tolong bantu saya cuci kasut
可以幫我曬衫?,Boleh bantu saya jemur pakaian?
我要整乾衫,Saya mahu keringkan baju
洗衣機喺邊?,Di mana mesin basuh?
可以幫我用洗衣機?,Boleh bantu saya guna mesin basuh?
我唔識洗,Saya tak tahu cara basuh
請教我用機,Tolong ajar saya guna mesin
可以幫我加洗衣粉?,Boleh bantu saya tambah sabun?
我要乾淨衫,Saya mahu pakaian bersih
幫我摺衫,Tolong bantu saya lipat baju
可以幫我收衫?,Boleh bantu saya simpan pakaian?
我需要多個衣櫃,Saya perlukan almari tambahan
傢俬店喺邊?,Di mana kedai perabot?
可以幫我揀椅子?,Boleh bantu saya pilih kerusi?
我要細枱,Saya mahu meja kecil
幫我整理房間,Tolong bantu saya susun bilik
可以幫我佈置房間?,Boleh bantu saya hias bilik?
我要舒服環境,Saya mahu suasana selesa
幫我揀燈,Tolong bantu saya pilih lampu
可以幫我裝燈?,Boleh bantu saya pasang lampu?
我需要柔和光,Saya perlukan cahaya lembut
總掣喺邊?,Di mana suis utama?
可以幫我關燈?,Boleh bantu saya matikan lampu?
我要早瞓,Saya mahu tidur awal
幫我set朝早鬧鐘,Tolong bantu saya set alarm pagi
可以幫我準時起身?,Boleh bantu saya bangun tepat waktu?
我需要充足睡眠,Saya perlukan tidur yang cukup
唔好嘈,Tolong jangan buat bising
可以幫我搵耳塞?,Boleh bantu saya cari penutup telinga?
我要安靜環境,Saya mahu suasana senyap
請關窗,Tolong tutup tingkap
可以幫我開窗簾?,Boleh bantu saya buka langsir?
我要光入嚟,Saya mahu cahaya masuk
幫我抹窗,Tolong bantu saya bersihkan tingkap
可以幫我洗窗簾?,Boleh bantu saya cuci langsir?
我要屋企整齊,Saya mahu rumah kemas
幫我掃地,Tolong bantu saya sapu lantai
可以幫我抹塵?,Boleh bantu saya buang habuk?
我對塵敏感,Saya alergi habuk
幫我快啲清潔,Tolong bantu saya bersihkan cepat
可以幫我搵空氣清新劑?,Boleh bantu saya cari penyegar udara?
我要清新味,Saya mahu bau segar
幫我噴香味,Tolong sembur pewangi
可以幫我開前門?,Boleh bantu saya buka pintu depan?
我要出去一陣,Saya mahu keluar sebentar
請鎖門,Tolong kunci pintu
可以幫我搵屋企鎖匙?,Boleh bantu saya cari kunci rumah?
我漏咗鎖匙,Saya tertinggal kunci
幫我入屋,Tolong bantu saya masuk rumah
可以幫我聯絡鎖匠?,Boleh bantu saya hubungi tukang kunci?
我需要即刻幫手,Saya perlukan bantuan segera
唔好驚,Tolong jangan panik
可以幫我冷靜?,Boleh bantu saya bertenang?
我而家好啲,Saya rasa lebih baik sekarang
幫我繼續做嘢,Tolong bantu saya teruskan kerja
可以幫我完成任務?,Boleh bantu saya selesaikan tugas?
之後我要休息,Saya mahu rehat selepas ini
提醒我飲水,Tolong ingatkan saya minum air
可以幫我顧健康?,Boleh bantu saya jaga kesihatan?
我要健康生活,Saya mahu hidup sihat
幫我準時食飯,Tolong bantu saya makan tepat waktu
可以幫我搵新鮮水果?,Boleh bantu saya cari buah segar?
我要食菜,Saya mahu makan sayur
幫我煮嘢食,Tolong bantu saya masak
可以幫我切材料?,Boleh bantu saya potong bahan?
我要廚房乾淨,Saya mahu dapur bersih
可以幫我搵最近油站?,Boleh bantu saya cari stesen petrol terdekat?
我要入滿油,Saya mahu isi minyak penuh
自助油泵喺邊?,Di mana pam layan diri?
可以幫我揀油種?,Boleh bantu saya pilih jenis minyak?
我唔肯定邊款啱,Saya tak pasti yang mana sesuai
幫我喺櫃檯付款,Tolong bantu saya bayar di kaunter
可以幫我睇油價?,Boleh bantu saya semak harga minyak?
我要收據,Saya mahu resit pembayaran
幫我打氣胎,Tolong bantu saya isi angin tayar
可以幫我檢查胎壓?,Boleh bantu saya periksa tekanan tayar?
我覺得胎唔夠氣,Saya rasa tayar kurang angin
打氣機喺邊?,Di mana pam angin?
可以幫我開車頭蓋?,Boleh bantu saya buka bonet?
我要檢查引擎,Saya mahu periksa enjin
幫我加水箱水,Tolong bantu saya tambah air radiator
可以幫我搵車房?,Boleh bantu saya cari bengkel?
我需要維修師傅,Saya perlukan mekanik sekarang
幫我整車,Tolong bantu saya baiki kereta
可以幫我拖車?,Boleh bantu saya tunda kereta?
我要聯絡拖車服務,Saya mahu hubungi perkhidmatan towing
緊急電話喺邊?,Di mana nombor kecemasan?
可以幫我打緊急電話?,Boleh bantu saya buat panggilan kecemasan?
我需要警察幫助,Saya perlukan bantuan polis
幫我報案,Tolong bantu saya lapor kejadian
可以幫我填報告?,Boleh bantu saya isi laporan?
我唔識報案,Saya tak tahu cara buat laporan
請教我步驟,Tolong ajar saya langkahnya
可以幫我搵證人?,Boleh bantu saya cari saksi?
我需要證據,Saya perlukan bukti kejadian
幫我影相,Tolong bantu saya ambil gambar
可以幫我錄影?,Boleh bantu saya rakam video?
我要保存證據,Saya mahu simpan bukti ini
幫我交證據,Tolong bantu saya hantar bukti
可以幫我睇文件?,Boleh bantu saya semak dokumen?
我要複印文件,Saya mahu salin dokumen
影印機喺邊?,Di mana mesin fotostat?
可以幫我彩色打印?,Boleh bantu saya cetak warna?
我需要即刻打印,Saya perlukan cetakan segera
幫我剪紙,Tolong bantu saya potong kertas
可以幫我過膠?,Boleh bantu saya laminasi dokumen?
我要文件耐用,Saya mahu dokumen tahan lama
幫我放入文件夾,Tolong bantu saya simpan dalam fail
可以幫我貼標籤?,Boleh bantu saya labelkan fail?
我要按日期排,Saya mahu susun ikut tarikh
幫我搵舊檔,Tolong bantu saya cari fail lama
可以幫我歸檔?,Boleh bantu saya arkibkan dokumen?
我要有系統,Saya mahu sistem teratur
幫我搵文件夾,Tolong bantu saya cari folder
可以幫我開呢個檔?,Boleh bantu saya buka fail ini?
我開唔到檔案,Saya tak boleh buka fail
幫我修復檔案,Tolong bantu saya baiki fail
可以幫我轉格式?,Boleh bantu saya tukar format?
我要存PDF,Saya mahu simpan dalam PDF
幫我寄附件電郵,Tolong bantu saya hantar email lampiran
可以幫我睇收件箱?,Boleh bantu saya semak inbox?
我要刪舊電郵,Saya mahu padam email lama
幫我標記重要,Tolong bantu saya tandakan penting
可以幫我搵舊電郵?,Boleh bantu saya cari email lama?
我搵唔到訊息,Saya tak jumpa mesej itu
幫我再搵,Tolong bantu saya cari semula
可以幫我整理郵箱?,Boleh bantu saya atur folder email?
我要收件箱整齊,Saya mahu inbox kemas
幫我清垃圾郵件,Tolong bantu saya kosongkan spam
可以幫我封鎖號碼?,Boleh bantu saya blok nombor?
我要避免騷擾,Saya mahu elak gangguan
幫我設定私隱,Tolong bantu saya set privasi
可以幫我保護帳戶?,Boleh bantu saya lindungi akaun?
我驚帳戶被駭,Saya takut akaun digodam
幫我改密碼,Tolong bantu saya tukar kata laluan
可以幫我開雙重驗證?,Boleh bantu saya aktifkan pengesahan dua langkah?
我要多層保護,Saya mahu keselamatan tambahan
幫我登出所有裝置,Tolong bantu saya log keluar semua peranti
可以幫我檢查帳戶活動?,Boleh bantu saya semak aktiviti akaun?
我要確保安全,Saya mahu pastikan semuanya selamat
幫我聯絡客服,Tolong bantu saya hubungi sokongan pelanggan
可以幫我投訴?,Boleh bantu saya buat aduan?
我要報告問題,Saya mahu lapor masalah ini
幫我寫投訴,Tolong bantu saya tulis aduan
可以幫我提交投訴表?,Boleh bantu saya hantar borang aduan?
我需要回覆,Saya perlukan maklum balas
幫我查投訴狀態,Tolong bantu saya semak status aduan
可以幫我跟進申請?,Boleh bantu saya susulan permohonan?
我要即刻答覆,Saya mahu jawapan segera
可以幫我搵體育中心?,Boleh bantu saya cari pusat sukan?
我要喺度做運動,Saya mahu bersenam di sini
健身室喺邊?,Di mana gimnasium?
可以幫我登記會員?,Boleh bantu saya daftar keahlian?
我要用跑步機,Saya mahu guna treadmill
請示範用呢個器材,Tolong tunjuk cara guna alat ini
可以幫我計時間?,Boleh bantu saya kira masa senaman?
運動後我要休息,Saya mahu rehat sebentar selepas senaman
男更衣室喺邊?,Di mana bilik persalinan lelaki?
可以幫我搵沖涼房?,Boleh bantu saya cari pancuran mandi?
我要沖涼,Saya mahu mandi selepas bersenam
請畀多條毛巾,Tolong beri saya tuala tambahan
可以幫我用儲物櫃?,Boleh bantu saya simpan barang di loker?
我要鎖住物品,Saya mahu kunci barang saya
儲物櫃鎖匙喺邊?,Di mana kunci loker?
可以幫我搵泳池?,Boleh bantu saya cari kolam renang?
我要游水,Saya mahu berenang sekejap
請確保泳池安全,Tolong pastikan keselamatan kolam
可以幫我搵水泡?,Boleh bantu saya cari pelampung?
我唔識游水,Saya tak pandai berenang
請教我基本游泳,Tolong ajar saya asas berenang
可以幫我搵教練?,Boleh bantu saya cari jurulatih?
我要私人訓練,Saya mahu latihan peribadi
瑜伽班喺邊?,Di mana kelas yoga?
可以幫我報名瑜伽?,Boleh bantu saya daftar yoga?
我要放鬆身體,Saya mahu relaksasi badan
幫我搵zumba班,Tolong bantu saya cari kelas zumba
可以幫我搵球場?,Boleh bantu saya cari padang bola?
我要踢波,Saya mahu bermain bola sepak
幫我搵隊友,Tolong bantu saya cari rakan bermain
可以幫我搵運動用品?,Boleh bantu saya cari peralatan sukan?
我要買運動鞋,Saya mahu beli kasut sukan
運動用品店喺邊?,Di mana kedai sukan?
可以幫我揀鞋碼?,Boleh bantu saya pilih saiz kasut?
我要舒服嘅鞋,Saya mahu kasut yang selesa
幫我搵運動飲料,Tolong bantu saya cari air minuman sukan
可以幫我裝水?,Boleh bantu saya isi air botol?
運動後我要補充能量,Saya perlukan tenaga selepas senaman
幫我搵健康食物,Tolong bantu saya cari makanan sihat
可以幫我揀沙律?,Boleh bantu saya pilih salad?
我要均衡飲食,Saya mahu diet seimbang
幫我計卡路里,Tolong bantu saya kira kalori
可以幫我制定訓練計劃?,Boleh bantu saya buat pelan senaman?
我要有固定時間表,Saya mahu jadual rutin
幫我保持規律,Tolong bantu saya kekal konsisten
可以幫我搵休閒公園?,Boleh bantu saya cari taman rekreasi?
我要喺公園行,Saya mahu berjalan di taman
單車道喺邊?,Di mana laluan basikal?
可以幫我租單車?,Boleh bantu saya sewa basikal?
我要慢慢踩車,Saya mahu kayuh santai
幫我搵頭盔,Tolong bantu saya cari helmet
可以幫我戴頭盔?,Boleh bantu saya pakai helmet?
我要踩車安全,Saya mahu keselamatan semasa berbasikal
幫我喺公園搵水,Tolong bantu saya cari air minuman di taman
可以幫我搵長椅?,Boleh bantu saya cari bangku rehat?
我要坐低休息,Saya mahu duduk dan berehat
幫我搵樹蔭,Tolong bantu saya cari tempat teduh pokok
可以幫我搵公園廁所?,Boleh bantu saya cari tandas awam di taman?
幫我搵公園出口,Tolong bantu saya cari laluan keluar taman
可以幫我搵泊單車位?,Boleh bantu saya cari tempat letak basikal?
我要鎖單車,Saya mahu kunci basikal
幫我搵多把鎖,Tolong bantu saya cari kunci tambahan
可以幫我搵飲水站?,Boleh bantu saya cari stesen air minuman?
我行完好口渴,Saya dahaga selepas berjalan
請畀我凍水,Tolong beri saya air sejuk
可以幫我搵附近店舖?,Boleh bantu saya cari kedai berhampiran?
我要喺公園買小食,Saya mahu beli makanan ringan di taman
幫我搵垃圾桶,Tolong bantu saya cari tong sampah
可以幫我保持公園清潔?,Boleh bantu saya jaga kebersihan taman?
我要正確丟垃圾,Saya mahu buang sampah dengan betul
可以幫我搵的士站?,Boleh bantu saya cari hentian teksi?
我要搭的士去市區,Saya mahu naik teksi ke bandar
的士排隊喺邊?,Di mana barisan teksi?
可以幫我抬行李上車?,Boleh bantu saya angkat bagasi ke teksi?
我有好多袋,Saya ada banyak beg
幫我放好行李,Tolong bantu saya susun bagasi
可以幫我關車尾箱?,Boleh bantu saya tutup but kereta?
我要去機場,Saya mahu ke lapangan terbang
去機場點行?,Di mana laluan ke lapangan terbang?
可以幫我叫網約車?,Boleh bantu saya tempah e-hailing?
我要拼車,Saya mahu kongsi perjalanan
幫我搵平車費,Tolong bantu saya cari tambang murah
可以幫我計車費?,Boleh bantu saya kira tambang?
我唔知價錢,Saya tak pasti harga
幫我用電子錢包付款,Tolong bantu saya bayar dengan e-wallet
可以幫我掃QR碼?,Boleh bantu saya scan kod QR?
我要無現金付款,Saya mahu bayar tanpa tunai
幫我查交易,Tolong bantu saya semak transaksi
可以幫我存電子收據?,Boleh bantu saya simpan resit digital?
我要付款證明,Saya mahu bukti pembayaran
幫我搵最近銀行,Tolong bantu saya cari bank terdekat
可以幫我開銀行戶口?,Boleh bantu saya buka akaun bank?
我要存錢,Saya mahu simpan duit
現金存款機喺邊?,Di mana mesin deposit tunai?
可以幫我提款?,Boleh bantu saya keluarkan duit?
我要換外幣,Saya mahu tukar duit asing
幫我計匯率,Tolong bantu saya kira kadar tukaran
可以幫我填銀行表格?,Boleh bantu saya isi borang bank?
我唔明呢份表格,Saya tak faham borang ini
請解釋資料,Tolong jelaskan maklumat ini
可以幫我確認簽名?,Boleh bantu saya sahkan tandatangan?
我需要蓋章,Saya perlukan cop rasmi
行政辦公室喺邊?,Di mana pejabat pentadbiran?
可以幫我搵職員?,Boleh bantu saya cari pegawai?
我要見職員,Saya mahu berjumpa pegawai
幫我預約,Tolong bantu saya buat temujanji
可以幫我排隊?,Boleh bantu saya tunggu giliran?
我要快啲輪到,Saya mahu nombor giliran cepat
幫我查時間表,Tolong bantu saya semak jadual
可以幫我改時間?,Boleh bantu saya ubah masa temu janji?
我趕唔到,Saya tak sempat hadir
幫我取消預約,Tolong bantu saya batalkan temu janji
可以幫我再預約?,Boleh bantu saya buat janji baru?
我需要醫療幫助,Saya perlukan bantuan kesihatan
24小時診所喺邊?,Di mana klinik 24 jam?
可以幫我見醫生?,Boleh bantu saya jumpa doktor?
我要登記病人,Saya mahu daftar pesakit
幫我拎號碼,Tolong bantu saya ambil nombor
可以幫我填病人表格?,Boleh bantu saya isi borang pesakit?
我頭痛,Saya sakit kepala
幫我攞藥,Tolong bantu saya dapatkan ubat
可以幫我搵藥房?,Boleh bantu saya cari farmasi?
我要買退燒藥,Saya mahu beli ubat demam
幫我睇藥物說明,Tolong bantu saya baca arahan ubat
可以幫我計藥量?,Boleh bantu saya kira dos ubat?
我唔識點食藥,Saya tak pasti cara makan ubat
請解釋食藥時間,Tolong jelaskan waktu makan ubat
可以幫我set食藥提醒?,Boleh bantu saya set peringatan ubat?
我要快啲好,Saya mahu sembuh cepat
幫我休息好,Tolong bantu saya rehat cukup
可以幫我搵床位?,Boleh bantu saya cari tempat tidur?
我要瞓低一陣,Saya mahu baring sekejap
幫我搵枕頭,Tolong bantu saya cari bantal
可以幫我蓋被?,Boleh bantu saya selimutkan diri?
幫我煲熱水,Tolong bantu saya panaskan air
可以幫我整熱飲?,Boleh bantu saya buat minuman panas?
我要熱茶,Saya mahu teh panas
幫我搵糖,Tolong bantu saya cari gula
可以幫我攪飲品?,Boleh bantu saya kacau minuman?
我要感覺好啲,Saya mahu rasa lebih baik
可以幫我搵洗車場?,Boleh bantu saya cari tempat basuh kereta?
我要今日洗車,Saya mahu cuci kereta hari ini
自動洗車機喺邊?,Di mana mesin basuh kereta automatik?
可以幫我揀洗車套餐?,Boleh bantu saya pilih pakej cuci?
我要淨係洗外面,Saya mahu cuci luar sahaja
幫我清車內,Tolong bantu saya bersihkan dalam kereta
可以幫我吸塵座位?,Boleh bantu saya vakum tempat duduk?
我車入面好多塵,Saya ada banyak habuk dalam kereta
幫我抹儀表板,Tolong bantu saya lap dashboard
可以幫我洗車窗?,Boleh bantu saya cuci cermin kereta?
我要玻璃乾淨,Saya mahu cermin bersih
幫我打蠟車,Tolong bantu saya polish kereta
可以幫我抹乾車?,Boleh bantu saya keringkan kereta?
我要車好光亮,Saya mahu kereta berkilat
幫我搵汽車用品店,Tolong bantu saya cari kedai aksesori kereta
可以幫我買新雨刷?,Boleh bantu saya beli wiper baru?
我要換機油,Saya mahu tukar minyak enjin
維修服務站喺邊?,Di mana bengkel servis?
可以幫我預約維修?,Boleh bantu saya tempah servis kereta?
我需要即刻維修,Saya perlukan servis segera
幫我檢查煞車,Tolong bantu saya semak brek
可以幫我檢查車燈?,Boleh bantu saya periksa lampu kereta?
我要換燈膽,Saya mahu tukar mentol lampu
幫我搵零件,Tolong bantu saya cari alat ganti
可以幫我安裝配件?,Boleh bantu saya pasang aksesori?
我要裝倒車鏡頭,Saya mahu tambah kamera belakang
幫我駁線,Tolong bantu saya sambung kabel
可以幫我檢查電池?,Boleh bantu saya periksa bateri kereta?
我驚電池弱,Saya takut bateri lemah
幫我搭電,Tolong bantu saya jump start kereta
可以幫我搵車胎店?,Boleh bantu saya cari kedai tayar?
我要換新胎,Saya mahu tukar tayar baru
幫我做平衡,Tolong bantu saya imbangi tayar
可以幫我做定位?,Boleh bantu saya sejajarkan tayar?
我要穩定駕駛,Saya mahu pemanduan stabil
幫我檢查避震,Tolong bantu saya semak suspensi
可以幫我搵安全用品?,Boleh bantu saya cari alat keselamatan?
我要買滅火器,Saya mahu beli alat pemadam api
幫我放急救用品,Tolong bantu saya simpan alat kecemasan
可以幫我搵急救箱?,Boleh bantu saya cari peti kecemasan?
我要準備好應急,Saya mahu sedia untuk kecemasan
幫我檢查車文件,Tolong bantu saya periksa dokumen kereta
可以幫我搵駕照?,Boleh bantu saya cari lesen memandu?
我唔記得帶駕照,Saya terlupa bawa lesen
幫我保存副本,Tolong bantu saya simpan salinan
可以幫我打印駕照?,Boleh bantu saya cetak lesen?
我要文件齊全,Saya mahu dokumen lengkap
幫我搵考車中心,Tolong bantu saya cari pusat ujian memandu
可以幫我報考?,Boleh bantu saya daftar ujian?
我要考試合格,Saya mahu lulus ujian
幫我練車,Tolong bantu saya berlatih memandu
可以幫我搵教車師傅?,Boleh bantu saya cari instruktur?
我要學基本駕駛,Saya mahu belajar asas memandu
幫我了解交通規則,Tolong bantu saya faham peraturan jalan raya
可以幫我記路牌?,Boleh bantu saya hafal tanda jalan?
我要安全駕駛,Saya mahu jadi pemandu selamat
幫我專心駕駛,Tolong bantu saya fokus semasa memandu
可以幫我避免意外?,Boleh bantu saya elak kemalangan?
我要安全旅程,Saya mahu perjalanan selamat
幫我搵少車路線,Tolong bantu saya cari laluan kurang trafik
可以幫我用導航?,Boleh bantu saya guna GPS?
我要準確路線,Saya mahu arah tepat
幫我查地圖,Tolong bantu saya semak peta
可以幫我搵替代路?,Boleh bantu saya cari jalan alternatif?
我要避開塞車,Saya mahu elak kesesakan
